invcount,price,prodcategory,productcolor,productname,productsizes,producturl
26,$66,"""Dresses""",Hot Coral,Matters Of The Heart Dark Coral Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/matters-of-the-heart-dark-coral-maxi-dress
34,$68,"""Dresses""",White,In Any Event White Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/in-any-event-white-maxi-dress
24,$55,"""Dresses""",Black,Best Thing I Never Had Black Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-best-thing-i-never-had-black-dress
5,$45,"""Dresses""",Evergreen,Let It Be Dark Green Velvet Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-let-it-be-dark-green-velvet-dress
0,$55,"""Dresses""",Red,Best Thing I Never Had Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-best-thing-i-never-had-red-dress
0,$68,"""Dresses""",Blush Pink,In Any Event Blush Pink Maxi Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-in-any-event-blush-pink-maxi-dress
11,$48,"""Dresses""",Grey,Keep It Between Us Grey Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-keep-it-between-us-grey-dress
0,$56,"""Dresses""",Red,I Thought You Were The One Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-i-thought-you-were-the-one-red-dress
7,$66,"""Dresses""",Porcelain Rose,Matters Of The Heart Porcelain Rose Pink Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-porcelain-rose-pink-maxi-dress
18,$66,"""Dresses""",Rose Pink,Matters Of The Heart Dusty Pink Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-dusty-pink-maxi-dress
6,$58,"""Dresses""",Red,I Truly Wish Red Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-i-truly-wish-red-maxi-dress
2,$68,"""Dresses""",,Princess Diaries Royal Blue Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-princess-diaries-royal-blue-maxi-dress
7,$45,"""Dresses""",Navy,Let It Be Navy Blue Velvet Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-let-it-be-navy-blue-velvet-dress-backorder-1-24
0,$38,"""Dresses""",,Pleasantly Appealing White Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-pleasantly-appealing-white-dress
3,$66,"""Dresses""",Floral Black,Gorgeous Gal White And Black Floral Maxi Dress (BACKORDER 6/1),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-gorgeous-gal-white-and-black-maxi-dress
5,$66,"""Dresses""",Royal,Matters Of The Heart Royal Blue Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-matters-of-the-heart-royal-blue-maxi-dress
0,$68,"""Dresses""",,Beauty Transformed White And Pink Embroidered Maxi Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/ever-after/products/ever-after-beauty-transformed-white-and-pink-embroidered-maxi-dress
13,$42,"""Dresses""",Aqua Blue,Another Moment With You Aqua Blue Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/another-moment-with-you-aqua-blue-dress
13,$48,"""Jumpsuits""",Pink,Swing My Way Fuchsia Pink Midi Jumpsuit,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/swing-my-way-fuchsia-pink-midi-jumpsuit
34,$42,"""Dresses""",Coral,Make My Heart Race Coral Pink Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/make-my-heart-race-coral-pink-dress
0,$48,"""Dresses""",CANTBE BROWNPRINT,Go Out In Style Brown Python Print Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-brown-python-print-dress
55,$38,"""Tops""",Mint Polkadot,Dream A Dream Mint Polka Dot Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-mint-polka-dot-top
0,$48,"""Dresses""",CANTBE MINTPRINT,Go Out In Style Mint Green Cheetah Print Dress (BACKORDER 3/30),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-mint-green-cheetah-print-dress
37,$38,"""Tops""",Blue Polkadot,Dream A Dream Blue Polka Dot Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-blue-polka-dot-top
53,$38,"""Tops""",DREAM WHITEFLORAL,Dream A Dream White Floral Print Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-white-floral-print-top
51,$38,"""Tops""",DREAM REDFLORAL,Dream A Dream Red Floral Print Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-red-floral-print-top
38,$38,"""Tops""",Yellow,Dream A Dream Yellow Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-yellow-top
0,$28,"""Bottoms""",Beige,The Best Of It Beige Multi Tweed Skirt,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/the-best-of-it-beige-multi-tweed-skirt
0,$49,"""Dresses""",INSTYLE PINKMULTI,Go Out In Style Pink Multi Print Tunic Dress (BACKORDER 3/5),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-pink-multi-print-tunic-dress
56,$38,"""Tops""",Seaside,Dream A Dream Blue Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/dream-a-dream-blue-top
14,$42,"""Dresses""",Periwinkle,Another Moment With You Periwinkle Blue Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/another-moment-with-you-periwinkle-blue-dress
1,$28,"""Tops""",Bright Pink,Perfect Love Bright Pink Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-bright-pink-top
0,$28,"""Tops""",Sage,Perfect Love Sage Green Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-sage-green-top
0,$34,"""Dresses""",Black,My Favorite Night Black Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-my-favorite-night-black-dress-backorder-2-12
0,$34,"""Dresses""",Red,My Favorite Night Red Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-my-favorite-night-red-dress-backorder-1-24
0,$28,"""Tops""",Red,Perfect Love Red Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-red-top-backorder-2-10
0,$28,"""Tops""",Blush Pink,Perfect Love Blush Pink Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-perfect-love-blush-pink-top
52,$26,"""Tops""",,In The Beginning White Peplum Top,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/aura-in-the-beginning-white-peplum-top-backorder-1-26
0,$49,"""Dresses""",INSTYLE DARKTEAL,Go Out In Style Dark Teal Blue Tunic Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-dark-teal-blue-tunic-dress
0,$49,"""Tops""",INSTYLE HONEYYELLOW,Go Out In Style Honey Yellow Tunic Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-honey-yellow-tunic-dress
0,$46,"""Dresses""",Beige,Going For It Striped Midi Dress (BACKORDER 4/15),"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/going-for-it-striped-midi-dress
0,$48,"""Dresses""",,Go Out In Style Grey Snake Print Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/aura/products/go-out-in-style-grey-snake-print-dress
27,$28,"""Dresses""",Fuchsia Stripe,Casual Love Fuchsia Pink Striped Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/story-casual-love-fuchsia-pink-striped-dress
4,$34,"""Dresses""",Rose Pink,Chasing Cloud Nine Coral Dress,"""SMALL""""MEDIUM""""LARGE""",https://www.reddressboutique.com/collections/story/products/story-chasing-cloud-nine-coral-dress
