prodname,prodprice,url
Turmeric Powder,£3.99,https://www.nutriseed.co.uk/collections/anti-inflammatory/products/turmeric-powder
Walnuts,£4.99,https://www.nutriseed.co.uk/collections/anti-inflammatory/products/walnuts
Turmeric Capsules - 500mg,£9.99,https://www.nutriseed.co.uk/collections/anti-inflammatory/products/turmeric-capsules
Multi Vitamin and Mineral Tablets,£12.99,https://www.nutriseed.co.uk/collections/anti-inflammatory/products/multi-vitamin-and-mineral-tablets
Acai Berry Capsules,£8.99,https://www.nutriseed.co.uk/collections/anti-inflammatory/products/acai-berry-capsules
"Ground Golden Flaxseed, Organic, Vegan Friendly & Gluten Free",£5.99,https://www.nutriseed.co.uk/collections/digestion/products/nutriseed-ground-flaxseed-1-5k
Slippery Elm Powder,£9.99,https://www.nutriseed.co.uk/collections/digestion/products/slippery-elm-powder
Organic Brown Rice Protein Powder 80%,£8.49,https://www.nutriseed.co.uk/collections/digestion/products/brown-rice-portein-powder
Organic Psyllium Husk,£2.98,https://www.nutriseed.co.uk/collections/digestion/products/psyllium-husk
Turmeric Powder,£3.99,https://www.nutriseed.co.uk/collections/digestion/products/turmeric-powder
Superfood Smoothie Bundle - 30 Day Supply,,https://www.nutriseed.co.uk/collections/digestion/products/superfood-smoothie-bundle
Multi Vitamin and Mineral Tablets,£12.99,https://www.nutriseed.co.uk/collections/digestion/products/multi-vitamin-and-mineral-tablets
Nutriseed Cold Pressed Juice Diet,,https://www.nutriseed.co.uk/products/cold-pressed-juice-cleanse
Almonds,£6.99,https://www.nutriseed.co.uk/collections/digestion/products/almonds
Cod Liver Oil Capsules 1000mg,£4.99,https://www.nutriseed.co.uk/collections/fish-oils-1/products/cod-liver-oil-capsules
Krill Oil Capsules 500mg,£13.95,https://www.nutriseed.co.uk/collections/fish-oils-1/products/krill-oil-capsules
Omega 3 6 9 Capsules - 1000mg,£9.99,https://www.nutriseed.co.uk/collections/fish-oils-1/products/omega-3-6-9-capsules-new
"Acai Berry Powder, Organic, Vegan Friendly & Gluten Free",£6.49,https://www.nutriseed.co.uk/collections/fruit-powders/products/acai-berry-powder
"Spirulina Powder, Organic, Vegan & Gluten Free",£5.99,https://www.nutriseed.co.uk/collections/green-supplements/products/spirulina-powder
Wheatgrass Powder - New Zealand,£5.99,https://www.nutriseed.co.uk/collections/green-supplements/products/wheatgrass-by-nutriseed
"Camu Camu Powder, Organic, Vegan Friendly & Gluten Free",£9.99,https://www.nutriseed.co.uk/collections/fruit-powders/products/camu-camu-powder-by-nutriseed
Organic Banana Powder,£4.99,https://www.nutriseed.co.uk/collections/fruit-powders/products/organic-banana-powder
Organic Blueberry Powder,£18.99,https://www.nutriseed.co.uk/collections/fruit-powders/products/organic-blueberry-powder
Organic Goji Berry Powder,£9.99,https://www.nutriseed.co.uk/collections/fruit-powders/products/goji-berry-powder
